year,port,mode,species,month,estimateType,estimate
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Catch,201
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,Harvest,201
1997,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,4,Catch,18
1997,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,4,Harvest,18
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,4,Catch,25
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,4,Harvest,25
1997,FRANKFORT-ELBERTA,Pier/Dock,,4,Angler Hours,3865
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Catch,49
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,49
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Catch,175
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,175
1997,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,2108
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Catch,48
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,48
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Catch,81
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,81
1997,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,3364
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Catch,87
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,87
1997,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,2367
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,Catch,189
1997,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,Harvest,189
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Catch,36
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,36
1997,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,8,Catch,42
1997,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,8,Harvest,42
1997,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,4556
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,Catch,22
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,Harvest,22
1997,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Catch,191
1997,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,191
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Catch,240
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,240
1997,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,4590
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Catch,11
1997,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,11
1997,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,5366
1997,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Catch,232
