year,port,mode,species,month,month_name,estimate_type,estimate,source,source_last_refreshed
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,May,Harvest,68,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,5,May,Angler Hours,1675,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,May,Harvest,11,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,June,Harvest,201,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,6,June,Angler Hours,3512,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,July,Harvest,55,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,7,July,Angler Hours,2117,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,August,Harvest,7,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,8,August,Angler Hours,1624,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,September,Harvest,7,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,September,Harvest,57,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,2380,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,October,Harvest,3,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,4390,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,108,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,April,Harvest,150,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1996,FRANKFORT-ELBERTA,Pier/Dock,,4,April,Angler Hours,2981,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1996,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,April,Harvest,9,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
